date,n_full,sum_sd,sum_var,ew_ret_full
2020-07-01,3777,96.86859910083548,2.8170529717354467,0.005041446861758295
2020-07-02,3778,97.23543488987858,2.828912001049586,0.013845052254465393
2020-07-03,3779,97.17798415751697,2.8200480366784695,0.011833388706269104
2020-07-06,3780,99.38145232635087,2.910490922656698,0.03890893957905322
2020-07-07,3778,98.76239252313663,2.8808368249083127,0.009430928705722088
2020-07-08,3783,99.53198280656659,2.931193299011128,0.02081628915984624
2020-07-09,3784,100.2043179347376,2.949178505539475,0.026055660637100686
2020-07-10,3783,99.89762598713048,2.929887391596324,-0.006307916982235865
2020-07-13,3783,100.76203924620533,2.9712305053957153,0.03277800950132304
2020-07-14,3788,101.67774727026574,3.0270914265535356,-0.004854621629284033
2020-07-15,3786,103.40745070748704,3.1479604049066916,-0.025438019552216404
2020-07-16,3787,106.36543871540428,3.305035679743537,-0.04458100381301887
2020-07-17,3789,106.88316818395455,3.3788585048016455,0.0014378330543407187
2020-07-20,3788,108.34252005810792,3.4094610789971456,0.03458153020321387
2020-07-21,3792,108.61785599756114,3.422256465244636,0.004524231361660999
2020-07-22,3790,108.47425568307008,3.4098027154823405,0.004787281406662798
2020-07-23,3792,108.6362174076804,3.4195557590402554,-0.002950487668213745
2020-07-24,3794,110.53985162139257,3.545445134000625,-0.040588240946853746
2020-07-27,3796,110.55950810149233,3.54273222848903,0.000632392673230933
2020-07-28,3797,109.92685234997738,3.59916961576439,0.011730502391499146
2020-07-29,3800,109.73459963594563,3.4962654725973796,0.02408466051598543
2020-07-30,3802,109.4014602236666,3.4725787020197325,-0.00035778827187633297
