underlying,lookback,z_window,smoothing,sharpe_full,sharpe_2014-2020,sharpe_2021-2023,sharpe_2024-2026,worst_tv
500｜中证500（现役分量）,60,120,5,0.5025161424853862,0.731846759031671,0.09025643884859565,0.20173356571312506,0.09025643884859565
500｜中证500（现役分量）,60,180,0,0.4345127510915124,0.6959290518690978,-0.10155057700318025,0.1371641066196252,-0.10155057700318025
500｜中证500（现役分量）,60,180,5,0.3359543229321926,0.5457817220699644,-0.23916728444835966,0.15996873670624392,-0.23916728444835966
500｜中证500（现役分量）,60,300,0,0.33942384866147035,0.42848891090965635,0.021967898735193822,0.3287234164042424,0.021967898735193822
500｜中证500（现役分量）,60,300,5,0.3341124384841174,0.4831819895406553,0.032556358455628855,0.1633255610223341,0.032556358455628855
500｜中证500（现役分量）,60,250,0,0.5974925475414573,0.7825615007811677,0.21197901972466138,0.42268973985919356,0.21197901972466138
500｜中证500（现役分量）,60,250,5,0.41924710962926354,0.6344884011294141,0.12865859364119014,0.09725206248901853,0.12865859364119014
1000｜中证1000（现役分量）,5,10,0,0.05210921239148036,0.0028320594391856887,-0.5153589089620813,0.6180464724210557,-0.5153589089620813
1000｜中证1000（现役分量）,5,10,5,-0.11894134045243945,-0.13303761448407248,-0.4748880890780918,0.21965923352156513,-0.4748880890780918
1000｜中证1000（现役分量）,5,15,0,0.05823652694221774,-0.2030164798569638,-0.3240469186608196,1.0517974716058962,-0.3240469186608196
1000｜中证1000（现役分量）,5,15,5,-0.1547413772299497,-0.018090249876947507,-1.0038926052597779,0.2388270419977721,-1.0038926052597779
1000｜中证1000（现役分量）,5,25,0,0.00643418097533232,-0.1172886500936426,-0.6273897786008872,0.9455779905717712,-0.6273897786008872
1000｜中证1000（现役分量）,5,25,5,-0.10983131277087772,-0.06144153120280733,-0.28087049261394703,-0.09069487870140305,-0.28087049261394703
1000｜中证1000（现役分量）,5,250,0,0.36015929919337636,0.2829115146375413,0.340609997768459,0.56172043467059,0.2829115146375413
1000｜中证1000（现役分量）,5,250,5,0.4385653693242599,0.393762020991708,0.21799850683291405,0.8092172084668068,0.21799850683291405
1000｜中证1000（现役分量）,10,20,0,0.23436111306002863,0.4626777500821965,-0.4594437616054122,0.2713265465868238,-0.4594437616054122
1000｜中证1000（现役分量）,10,20,5,0.29986533487539097,0.27117766251278763,-0.31556595927838516,1.0690861317249254,-0.31556595927838516
1000｜中证1000（现役分量）,10,30,0,0.38743735948287483,0.590791277886251,0.04310606016031417,0.10344234822648908,0.04310606016031417
1000｜中证1000（现役分量）,10,30,5,0.6491719896028554,0.7293525444639455,0.3082942257502375,0.7703386304561093,0.3082942257502375
1000｜中证1000（现役分量）,10,50,0,0.7245028656525159,0.8112530780205645,0.5073094786248322,0.657818918102837,0.5073094786248322
1000｜中证1000（现役分量）,10,50,5,0.9940902890238303,1.104665398894153,0.8790481252974077,0.7648981109819029,0.8790481252974077
1000｜中证1000（现役分量）,10,250,0,0.8417214466057984,0.8117229062737329,1.1441614579155446,0.6798659410577719,0.8117229062737329
1000｜中证1000（现役分量）,10,250,5,0.6930555780733622,0.8018901115112871,0.42962474684305985,0.6438123219016134,0.42962474684305985
1000｜中证1000（现役分量）,20,40,0,1.150629099795203,1.1980921723901845,0.9833061659371837,1.1674691718107892,0.9833061659371837
1000｜中证1000（现役分量）,20,40,5,1.4026131351248539,1.4651155757263699,0.956993177366898,1.6013626560943208,0.956993177366898
1000｜中证1000（现役分量）,20,60,0,1.218609384110495,1.3704089700348243,0.8754474775040824,1.1012222263419296,0.8754474775040824
1000｜中证1000（现役分量）,20,60,5,1.181398533608996,1.3646804532450227,0.6815838185254798,1.098364965119356,0.6815838185254798
1000｜中证1000（现役分量）,20,100,0,1.487469651249663,1.706688370761179,1.1870660133369282,1.1939239558468226,1.1870660133369282
1000｜中证1000（现役分量）,20,100,5,1.0434804111758131,1.0412426168050848,1.0698102878129017,1.0215831145209853,1.0412426168050848
1000｜中证1000（现役分量）,20,250,0,1.2333805937974975,1.3104743157973024,1.2856041999649477,1.0251472979619103,1.2856041999649477
