date,沪深300成长,沪深300价值,中证500成长,中证500价值,中证1000成长,中证1000价值,中证2000成长,中证2000价值
2014-11-25,2765.681,2725.539,5424.5859,6114.6854,2101.94,1754.8464,1692.7303,1658.869
2014-11-26,2798.282,2765.903,5460.2843,6143.56,2118.6005,1765.868,1707.7016,1668.2387
2014-11-27,2822.031,2789.956,5492.975,6184.0656,2126.9772,1776.0862,1725.8576,1682.086
2014-11-28,2925.981,2902.478,5500.3409,6181.9696,2135.7437,1777.7256,1727.3356,1683.4601
2014-12-01,2926.145,2910.442,5477.3443,6154.5435,2112.3397,1753.7004,1707.8156,1663.6955
2014-12-02,3039.346,3036.029,5548.2961,6262.9212,2132.277,1777.3569,1720.4731,1679.2758
2014-12-03,3076.989,3057.358,5597.5357,6337.3896,2150.5723,1789.0343,1724.8187,1681.3395
2014-12-04,3220.118,3219.021,5731.6701,6496.0456,2175.0247,1815.5645,1739.0359,1695.2079
2014-12-05,3222.515,3223.846,5602.8757,6352.6926,2114.6739,1770.513,1687.9904,1636.3425
2014-12-08,3306.529,3357.961,5657.8426,6517.9498,2098.2097,1802.0912,1682.1037,1634.4734
2014-12-09,3123.508,3151.407,5430.2174,6320.9011,2010.7764,1745.161,1596.9445,1558.4031
2014-12-10,3264.722,3276.458,5626.3334,6602.0121,2085.1875,1819.3383,1643.2074,1602.7225
2014-12-11,3245.946,3257.963,5729.2838,6719.1202,2115.7902,1857.8604,1663.2431,1626.1831
2014-12-12,3227.123,3243.807,5755.5833,6739.9429,2148.4728,1861.3314,1680.5658,1644.1862
2014-12-15,3229.289,3238.673,5877.0934,6837.1312,2188.3953,1886.8188,1714.4382,1675.8342
2014-12-16,3284.197,3340.963,5883.0634,6894.2813,2177.3347,1887.6909,1699.8611,1666.7352
2014-12-17,3360.601,3438.232,5842.103,6857.5452,2150.9326,1867.5656,1669.5329,1637.4498
2014-12-18,3346.993,3449.771,5820.6908,6831.6077,2148.1297,1852.3733,1654.0248,1626.0471
2014-12-19,3366.562,3530.716,5764.5714,6858.5708,2108.6678,1846.8257,1616.6693,1598.0882
2014-12-22,3415.004,3622.397,5541.5854,6640.6698,2011.2252,1793.2376,1516.8564,1511.7646
2014-12-23,3364.949,3525.451,5425.9862,6516.9232,1978.9363,1753.1299,1497.3054,1490.2404
