kind,rep,scheme,p_maxT,p_minP
stationary,357,full_group,0.748,0.25
stationary,358,restricted,0.52,0.842
stationary,358,full_group,0.494,0.844
stationary,359,restricted,0.176,0.366
stationary,359,full_group,0.166,0.334
stationary,360,restricted,0.11,0.348
stationary,360,full_group,0.096,0.276
stationary,361,restricted,0.172,0.326
stationary,361,full_group,0.2,0.332
stationary,362,restricted,0.788,0.886
stationary,362,full_group,0.764,0.934
stationary,363,restricted,0.282,0.024
stationary,363,full_group,0.222,0.016
stationary,364,restricted,0.114,0.068
stationary,364,full_group,0.124,0.044
stationary,365,restricted,0.656,0.656
stationary,365,full_group,0.668,0.706
stationary,366,restricted,0.568,0.856
stationary,366,full_group,0.582,0.892
stationary,367,restricted,0.12,0.048
stationary,367,full_group,0.122,0.128
stationary,368,restricted,0.498,0.626
stationary,368,full_group,0.53,0.552
stationary,369,restricted,0.718,0.9
stationary,369,full_group,0.692,0.922
stationary,370,restricted,0.404,0.384
stationary,370,full_group,0.438,0.418
stationary,371,restricted,0.796,0.63
stationary,371,full_group,0.79,0.568
stationary,372,restricted,0.098,0.372
stationary,372,full_group,0.064,0.142
stationary,373,restricted,0.326,0.022
stationary,373,full_group,0.308,0.048
stationary,374,restricted,0.974,0.464
stationary,374,full_group,0.972,0.496
stationary,375,restricted,0.816,0.972
stationary,375,full_group,0.8,0.946
stationary,376,restricted,0.206,0.058
stationary,376,full_group,0.178,0.046
stationary,377,restricted,0.034,0.07
stationary,377,full_group,0.014,0.054
stationary,378,restricted,0.886,0.91
stationary,378,full_group,0.896,0.89
stationary,379,restricted,0.258,0.11
stationary,379,full_group,0.274,0.178
stationary,380,restricted,0.302,0.624
stationary,380,full_group,0.324,0.636
stationary,381,restricted,0.832,0.66
stationary,381,full_group,0.79,0.62
stationary,382,restricted,0.782,0.79
stationary,382,full_group,0.778,0.744
stationary,383,restricted,0.304,0.094
stationary,383,full_group,0.318,0.198
stationary,384,restricted,0.416,0.85
