pit_policy,formation_date,scope,input_n,size_excluded_n,model_excluded_n,size_n,model_n,m_orthogonality_error,s_orthogonality_error,h_orthogonality_error,max_orthogonality_error,data_exempt_names,data_exempt_share,data_materiality_threshold,q500,q1000,qblend,unverified_first_disclosure_model_rows,unverified_first_disclosure_dependencies_json
legal_deadline,2022-08-31,exposure,4787,182,1326,4605,3461,5.048515722738401e-16,6.810881581815327e-16,6.341865879687633e-16,6.810881581815327e-16,0,0.0,0.0025,-1.0751284812829542,-0.3829108931359334,-0.7290196872094439,0,[]
legal_deadline,2022-09-30,exposure,4829,189,1368,4640,3461,5.751633848948624e-16,6.182022974928464e-16,8.128533678279837e-16,8.128533678279837e-16,0,0.0,0.0025,-1.067324548273469,-0.36163621932090384,-0.7144803837971865,0,[]
legal_deadline,2022-10-31,exposure,4853,179,1335,4674,3518,2.792334427422678e-16,6.444557425243312e-16,3.015548194054013e-16,6.444557425243312e-16,0,0.0,0.0025,-1.1010802082269662,-0.38718192147197283,-0.7441310648494694,0,[]
legal_deadline,2022-11-30,exposure,4877,189,1358,4688,3519,4.83582155255641e-16,6.195896856386893e-16,2.583880990794421e-16,6.195896856386893e-16,0,0.0,0.0025,-1.102776933502646,-0.38186766120319166,-0.7423222973529189,0,[]
legal_deadline,2022-12-30,exposure,4905,191,1386,4714,3519,1.059209420388967e-15,6.195896856386893e-16,2.739929983215994e-16,1.059209420388967e-15,0,0.0,0.0025,-1.1722583866730298,-0.41224303122522077,-0.7922507089491253,0,[]
legal_deadline,2023-01-31,exposure,4911,167,1392,4744,3519,6.560170011077048e-16,8.125301156377956e-16,2.978596145550444e-16,8.125301156377956e-16,0,0.0,0.0025,-1.1882910802807716,-0.43396722537299004,-0.8111291528268808,0,[]
legal_deadline,2023-02-28,exposure,4925,139,1407,4786,3518,7.806593662045573e-16,6.13595268800543e-16,3.122032164629371e-16,7.806593662045573e-16,0,0.0,0.0025,-1.2046461014659982,-0.43521598102658104,-0.8199310412462896,0,[]
legal_deadline,2023-03-31,exposure,4947,122,1432,4825,3515,8.612625135521399e-16,7.343238998105207e-16,1.4586437969712503e-16,8.612625135521399e-16,0,0.0,0.0025,-1.2361513339309287,-0.4376519576976876,-0.8369016458143081,0,[]
legal_deadline,2023-04-28,exposure,4973,129,1423,4844,3550,5.114619847969428e-16,5.342493650490512e-16,1.3073216001308209e-16,5.342493650490512e-16,0,0.0,0.0025,-1.2166161919966014,-0.4546889100942002,-0.8356525510454008,0,[]
legal_deadline,2023-05-31,exposure,4995,124,1437,4871,3558,5.596670953676591e-16,1.010034939906374e-15,1.6702929671763063e-16,1.010034939906374e-15,0,0.0,0.0025,-1.22692541005272,-0.4403666071308826,-0.8336460085918014,0,[]
legal_deadline,2023-06-30,exposure,5021,131,1470,4890,3551,6.241023890874325e-16,1.5634132489379839e-15,2.549538821980255e-16,1.5634132489379839e-15,0,0.0,0.0025,-1.3015739875551158,-0.46088847216524353,-0.8812312298601797,0,[]
